"variable"	"raw.sample.size"	"n.languages"	"n.levels"	"source"	"set.fisher.p"	"set.CP.significant.residuals"	"set.Other.significant.residuals"	"mcmc.fisher.p"	"mcmc.CP.significant.residuals"	"mcmc.Other.significant.residuals"	"ml.fisher.p"	"ml.CP.significant.residuals"	"ml.Other.significant.residuals"	"problems"
"autotyp.wals$MADGLO0"	565	565	2	"WALS"	0.167730205971144	""	""	0.167730205971144	""	""	0.257040210437284	""	""	NA
"autotyp.wals$MADLAT0"	470	470	4	"WALS"	0.067322520452271	""	""	0.794964194467005	""	""	0.382245355372292	""	""	NA
"autotyp.wals$MADVOI0"	385	385	3	"WALS"	0.232295790212036	""	""	0.341517513718647	""	""	0.332195556357163	""	""	NA
"autotyp.wals$RUBRED0"	311	311	2	"WALS"	1	""	""	1	""	""	1	""	""	NA
"autotyp.wals$SIEVPA01"	377	377	2	"WALS"	0.441906815667496	""	""	0.409256223361598	""	""	0.408433304713714	""	""	NA
"autotyp.wals$SIEZER0"	284	284	2	"WALS"	1	""	""	1	""	""	0.655658754729962	""	""	NA
"autotyp.wals$SONNON2"	310	310	2	"WALS"	0.316409388089978	""	""	0.316409388089978	""	""	0.620414673046252	""	""	NA
"autotyp.wals$STAADJ0"	283	283	2	"WALS"	0.666736597143083	""	""	0.823412563316675	""	""	0.815740249403039	""	""	NA
"autotyp.wals$STOORD0"	272	272	5	"WALS"	0.904084788500998	""	""	0.8733464677737	""	""	1	""	""	NA
"autotyp.wals$DRYSOVW"	1226	1226	7	"WALS"	0.0778072124496726	""	"+SVO"	NA	NA	NA	NA	NA	NA	"Oceanic sbranch:Unable to parse BayesTraits results; Nilotic stock:Unable to parse BayesTraits results"
"autotyp.wals$DRYNPL2"	957	957	2	"WALS"	0.606290589655407	""	""	0.602425531031048	""	""	0.777281330897943	""	""	NA
"autotyp.wals$MADCONC"	561	561	5	"WALS"	0.267522837766336	""	""	0.900317074230127	""	""	1	""	""	NA
"autotyp.wals$MADVOWC"	562	562	3	"WALS"	0.0227898037397377	""	"+Large vowel inventory (7-14)"	0.0674099641754721	""	"+Large vowel inventory (7-14)"	0.126331157637847	""	"+Large vowel inventory (7-14)"	NA
"autotyp.wals$MADCVRC"	562	562	5	"WALS"	0.50898907464503	""	""	0.991557080904739	""	""	0.999999999999999	""	""	NA
"autotyp.wals$IGGNUMC"	260	260	9	"WALS"	0.672534403149818	""	""	NA	NA	NA	NA	NA	NA	"Indo-European stock:Unable to parse BayesTraits results; Sino-Tibetan stock:Unable to parse BayesTraits results"
"autotyp.wals$CORNUMC"	256	256	5	"WALS"	0.253813386539749	""	""	0.764222582546153	""	""	0.558752841980084	""	""	NA
"autotyp.wals$IGGNUM2C"	260	260	8	"WALS"	0.789544795194241	""	""	NA	NA	NA	NA	NA	NA	"Indo-European stock:Unable to parse BayesTraits results; Sino-Tibetan stock:Unable to parse BayesTraits results"
"autotyp.synpatterns$some.case.for.A.vs.P"	649	649	2	"AUTOTYP"	0.4338610782248	""	""	0.600536846313222	""	""	0.77532275579494	""	""	NA
